panel,condition,sample,cells_before,cells_after,perc_tot_removed,perc_IT_removed,perc_MAD_removed
surface,unstim,W24_SUR_AA23015_2024-05-10_Unstim.fcs,195616,189500,3.126533617,0,3.126533617
surface,unstim,W36_SUR_AA22008_2022-09-12_Unstim.fcs,188458,188458,0,0,0
surface,unstim,W36_SUR_AA22011_2023-01-09_Unstim.fcs,204141,199641,2.204358752,0,2.204358752
surface,unstim,W36_SUR_AA22019_2023-07-27_Unstim.fcs,197440,197440,0,0,0
surface,unstim,W36_SUR_AA22020_2023-09-07_Unstim1.fcs,187505,187500,0.002666596,0.002666596,0
surface,unstim,W36_SUR_AA23001_2024-01-10_Unstim.fcs,192659,189159,1.816681287,0,1.816681287
surface,unstim,W36_SUR_AA23002_2023-11-28_Unstim.fcs,191764,186264,2.868108717,0,2.868108717
surface,unstim,W36_SUR_AA23003_2024-01-08_Unstim.fcs,96496,94496,2.072624772,0,2.072624772
surface,unstim,W36_SUR_AA23004_2024-02-02_Unstim.fcs,101691,100441,1.229213991,0,1.229213991
surface,unstim,W36_SUR_AA23005_2024-04-12_Unstim.fcs,161433,160433,0.619452033,0,0.619452033
surface,unstim,W36_SUR_AA23008_2024-04-16_Unstim.fcs,187375,184875,1.334222815,0,1.334222815
