filename,panel,condition,cell_count
W12_SUR_AA23003_2023-07-20_Peanut1.fcs,surface,peanut,158390
W12_SUR_AA23004_2023-08-15_Peanut.fcs,surface,peanut,137844
W12_SUR_AA23005_2023-10-30_Peanut1.fcs,surface,peanut,194235
W12_SUR_AA23008_2023-10-06_Peanut.fcs,surface,peanut,201394
W12_SUR_AA23009_2023-10-11_Peanut1.fcs,surface,peanut,192894
W12_SUR_AA23010_2023-11-09_Peanut.fcs,surface,peanut,190864
W12_SUR_AA23013_2024-02-16_Peanut.fcs,surface,peanut,194333
W12_SUR_AA23015_2024-02-16_Peanut1.fcs,surface,peanut,191054
W2_SUR_AA22008_2022-04-04_Peanut.fcs,surface,peanut,191002
W2_SUR_AA22011_2022-05-10_Peanut1.fcs,surface,peanut,217380
W2_SUR_AA22019_2022-12-09_Peanut.fcs,surface,peanut,188728
W2_SUR_AA22020_2022-12-19_Peanut.fcs,surface,peanut,197043
W2_SUR_AA23001_2023-05-05_Peanut.fcs,surface,peanut,205795
W2_SUR_AA23002_2023-04-05_Peanut.fcs,surface,peanut,192653
W2_SUR_AA23003_2023-05-16_Peanut.fcs,surface,peanut,204786
W2_SUR_AA23004_2023-05-19_Peanut1.fcs,surface,peanut,139252
W2_SUR_AA23005_2023-08-23_Peanut.fcs,surface,peanut,195760
W2_SUR_AA23008_2023-07-24_Peanut.fcs,surface,peanut,199582
W2_SUR_AA23009_2023-08-01_Peanut.fcs,surface,peanut,198413
W2_SUR_AA23010_2023-08-28_Peanut1.fcs,surface,peanut,188047
W2_SUR_AA23013_2023-12-08_Peanut1.fcs,surface,peanut,201740
W2_SUR_AA23015_2023-12-01_Peanut1.fcs,surface,peanut,204259
W24_SUR_AA22011_2022-10-20_Peanut.fcs,surface,peanut,209054
W24_SUR_AA22019_2023-05-03_Peanut1.fcs,surface,peanut,190803
W24_SUR_AA22020_2023-06-01_Peanut1.fcs,surface,peanut,192719
W24_SUR_AA23001_2023-10-17_Peanut.fcs,surface,peanut,196846
W24_SUR_AA23002_2023-09-07_Peanut.fcs,surface,peanut,194283
W24_SUR_AA23003_2023-10-16_Peanut.fcs,surface,peanut,96368
W24_SUR_AA23004_2023-11-06_Peanut1.fcs,surface,peanut,96036
W24_SUR_AA23005_2024-01-19_Peanut.fcs,surface,peanut,164871
W24_SUR_AA23008_2024-01-02_Peanut1.fcs,surface,peanut,189959
W24_SUR_AA23009_2024-01-03_Peanut1.fcs,surface,peanut,187125
W24_SUR_AA23010_2024-02-05_Peanut1.fcs,surface,peanut,193002
W24_SUR_AA23013_2024-05-09_Peanut1.fcs,surface,peanut,203906
W24_SUR_AA23015_2024-05-10_Peanut1.fcs,surface,peanut,206831
W36_ SUR_AA23004_2024-02-02_Peanut1.fcs,surface,peanut,95341
W36_SUR_AA22008_2022-09-12_Peanut.fcs,surface,peanut,186828
W36_SUR_AA22011_2023-01-09_Peanut.fcs,surface,peanut,202929
W36_SUR_AA22019_2023-07-27_Peanut.fcs,surface,peanut,192116
W36_SUR_AA22020_2023-09-07_Peanut1.fcs,surface,peanut,185781
W36_SUR_AA23001_2024-01-10_Peanut.fcs,surface,peanut,191231
W36_SUR_AA23002_2023-11-28_Peanut.fcs,surface,peanut,192888
W36_SUR_AA23003_2024-01-08_Peanut1.fcs,surface,peanut,95628
W36_SUR_AA23005_2024-04-12_Peanut.fcs,surface,peanut,161485
W36_SUR_AA23008_2024-04-16_Peanut.fcs,surface,peanut,187116
W36_SUR_AA23009_2024-03-25_Peanut.fcs,surface,peanut,192037
W36_SUR_AA23010_2024-05-03_Peanut1.fcs,surface,peanut,192437
W36_SUR_AA23013_2024-07-31_Peanut.fcs,surface,peanut,188736
W36_SUR_AA23015_2024-07-30_Peanut.fcs,surface,peanut,196358
W48_SUR_AA22008_2023-02-27_Peanut1.fcs,surface,peanut,194231
W48_SUR_AA22011_2023-04-14_Peanut1.fcs,surface,peanut,193465
W48_SUR_AA22019_2023-10-16_Peanut1.fcs,surface,peanut,183670
W48_SUR_AA22020_2023-12-07_Peanut.fcs,surface,peanut,215562
W48_SUR_AA23001_2024-04-11_Peanut.fcs,surface,peanut,191496
W48_SUR_AA23002_2024-02-29_Peanut.fcs,surface,peanut,197023
W48_SUR_AA23003_2024-04-15_Peanut.fcs,surface,peanut,187737
W48_SUR_AA23004_2024-04-22_Peanut1.fcs,surface,peanut,137554
W48_SUR_AA23005_2024-07-09_Peanut1.fcs,surface,peanut,189465
W48_SUR_AA23008_2024-08-23_Peanut.fcs,surface,peanut,190084
W48_SUR_AA23009_2024-06-21_Peanut1.fcs,surface,peanut,195641
W48_SUR_AA23010_2024-07-31_Peanut.fcs,surface,peanut,191952
W48_SUR_AA23013_2024-11-04_Peanut.fcs,surface,peanut,184712
