"","medians BAS","medians W2","p values","-log10 p values","adjusted p values","fold changes","log10 fold changes"
"C37 CD154 <CD154>",1.7121787071228,1.57893037796021,0.473070468243882,0.3250741622432,0.503266455578598,-1.08439151657513,-0.0351861113438757
"C38 CD154 <CD154>",1.68852353096008,1.45443964004517,0.364773966469587,0.437976164373363,0.439486706589864,-1.16094438330053,-0.0648114147392302
"C39 CD154 <CD154>",1.49305880069733,0.968650251626968,0.24174145559382,0.61664886720994,0.378328904898971,-1.54138069771783,-0.187909916134924
"C40 CD154 <CD154>",1.62668389081955,1.44393837451935,0.520894820716856,0.283249960757497,0.542598771580058,-1.12656046790157,-0.0517545073525243
"C41 CD154 <CD154>",0.764285981655121,0.347932785749435,0.162346947046639,0.789555873919808,0.338671580306846,-2.1966483555405,-0.341760539637231
"C42 CD154 <CD154>",1.03563487529755,0.760761469602585,0.273464233087508,0.563099467826,0.382037821666295,-1.36131352162006,-0.133958158288481
"C43 CD154 <CD154>",0.910206437110901,0.556997656822205,0.121556685729604,0.915221149567471,0.338671580306846,-1.63412974177276,-0.213286534386801
"C44 CD154 <CD154>",1.27657067775726,0.971713215112686,0.140819247035076,0.85133798219775,0.338671580306846,-1.31373193026836,-0.118506755572009
"C45 CD154 <CD154>",1.42477023601532,1.27271997928619,0.24174145559382,0.61664886720994,0.378328904898971,-1.1194687434815,-0.0490119722133865
"C46 CD154 <CD154>",1.47582101821899,1.18549084663391,0.162346947046639,0.789555873919808,0.338671580306846,-1.24490292135907,-0.0951354860808405
"C47 CD154 <CD154>",1.6934757232666,1.58355343341827,0.450096046379406,0.346694801865229,0.489234833021093,-1.06941495470162,-0.0291462529819967
"C48 CD154 <CD154>",1.80221879482269,1.39849722385406,0.226890418219509,0.644183844363017,0.371951505277884,-1.28868242573698,-0.110145905916041
"C49 CD154 <CD154>",1.51301974058151,1.05401879549026,0.450096046379406,0.346694801865229,0.489234833021093,-1.43547700198055,-0.156996238983029
"C50 CD154 <CD154>",1.65736758708954,1.3526297211647,0.42776753510831,0.368792178760116,0.489234833021093,-1.22529289513352,-0.0882399152603233
